loaded 130765
[counter] model=claude-opus-4-7 baseline(§§)=13
[mega] resume: 0 already done, 130765 pending
[mega] 94500/130765 hits=115 rpm~2981 conc=300 inflight=220 429=1
[mega] 95000/130765 hits=119 rpm~2984 conc=300 inflight=0 429=1
[mega] 95500/130765 hits=119 rpm~2978 conc=300 inflight=299 429=1
[mega] 96000/130765 hits=119 rpm~2980 conc=300 inflight=292 429=1
[mega] 96500/130765 hits=119 rpm~2983 conc=300 inflight=224 429=1
[mega] 97000/130765 hits=119 rpm~2984 conc=300 inflight=0 429=1
[mega] 97500/130765 hits=119 rpm~2977 conc=300 inflight=298 429=1
[mega] 98000/130765 hits=119 rpm~2979 conc=300 inflight=292 429=1
[mega] 98500/130765 hits=119 rpm~2982 conc=300 inflight=191 429=1
[mega] 99000/130765 hits=119 rpm~2980 conc=300 inflight=274 429=1
[mega] 99500/130765 hits=119 rpm~2978 conc=300 inflight=299 429=1
[mega] 100000/130765 hits=120 rpm~2978 conc=300 inflight=0 429=1
[mega] 100500/130765 hits=126 rpm~2975 conc=300 inflight=298 429=1
[mega] 101000/130765 hits=126 rpm~2973 conc=300 inflight=298 429=1
[mega] 101500/130765 hits=126 rpm~2974 conc=300 inflight=299 429=1
[mega] 102000/130765 hits=126 rpm~2975 conc=300 inflight=298 429=1
[mega] 102500/130765 hits=126 rpm~2976 conc=300 inflight=295 429=1
[mega] 103000/130765 hits=126 rpm~2977 conc=300 inflight=292 429=1
[mega] 103500/130765 hits=126 rpm~2974 conc=300 inflight=298 429=1
[mega] 104000/130765 hits=126 rpm~2974 conc=300 inflight=299 429=1
[mega] 104500/130765 hits=126 rpm~2974 conc=300 inflight=299 429=1
[mega] 105000/130765 hits=126 rpm~2976 conc=300 inflight=0 429=1
[mega] 105500/130765 hits=126 rpm~2976 conc=300 inflight=298 429=1
[mega] 106000/130765 hits=126 rpm~2975 conc=300 inflight=298 429=1
[mega] 106500/130765 hits=128 rpm~2978 conc=300 inflight=238 429=1
[mega] 107000/130765 hits=137 rpm~2980 conc=300 inflight=142 429=1
[mega] 107500/130765 hits=143 rpm~2980 conc=300 inflight=195 429=1
[mega] 108000/130765 hits=145 rpm~2981 conc=300 inflight=0 429=1
[mega] 108500/130765 hits=148 rpm~2978 conc=300 inflight=247 429=1
[mega] 109000/130765 hits=156 rpm~2981 conc=300 inflight=0 429=1
[mega] 109500/130765 hits=161 rpm~2977 conc=300 inflight=267 429=1
[mega] 110000/130765 hits=165 rpm~2980 conc=300 inflight=0 429=1
[mega] 110500/130765 hits=171 rpm~2975 conc=300 inflight=299 429=1
[mega] 111000/130765 hits=179 rpm~2978 conc=300 inflight=0 429=1
[mega] 111500/130765 hits=190 rpm~2974 conc=300 inflight=297 429=1
[mega] 112000/130765 hits=202 rpm~2976 conc=300 inflight=298 429=1
[mega] 112500/130765 hits=215 rpm~2979 conc=300 inflight=174 429=1
[mega] 113000/130765 hits=224 rpm~2981 conc=300 inflight=0 429=1
[mega] 113500/130765 hits=233 rpm~2977 conc=300 inflight=236 429=1
[mega] 114000/130765 hits=238 rpm~2980 conc=300 inflight=0 429=1
[mega] 114500/130765 hits=248 rpm~2976 conc=300 inflight=269 429=1
[mega] 115000/130765 hits=259 rpm~2977 conc=300 inflight=0 429=1
[mega] 115500/130765 hits=271 rpm~2975 conc=300 inflight=297 429=1
[mega] 116000/130765 hits=275 rpm~2976 conc=300 inflight=295 429=1
[mega] 116500/130765 hits=282 rpm~2978 conc=300 inflight=232 429=1
[mega] 117000/130765 hits=289 rpm~2981 conc=300 inflight=0 429=1
[mega] 117500/130765 hits=295 rpm~2977 conc=300 inflight=268 429=1
[mega] 118000/130765 hits=305 rpm~2980 conc=300 inflight=0 429=1
[mega] 118500/130765 hits=314 rpm~2976 conc=300 inflight=295 429=1
[mega] 119000/130765 hits=323 rpm~2978 conc=300 inflight=254 429=1
[mega] 119500/130765 hits=332 rpm~2980 conc=300 inflight=147 429=1
[mega] 120000/130765 hits=337 rpm~2980 conc=300 inflight=0 429=1
[mega] 120500/130765 hits=338 rpm~2977 conc=300 inflight=266 429=1
[mega] 121000/130765 hits=339 rpm~2980 conc=300 inflight=0 429=1
[mega] 121500/130765 hits=339 rpm~2976 conc=300 inflight=295 429=1
[mega] 122000/130765 hits=340 rpm~2979 conc=300 inflight=180 429=1
[mega] 122500/130765 hits=341 rpm~2980 conc=300 inflight=147 429=1
[mega] 123000/130765 hits=341 rpm~2981 conc=300 inflight=0 429=1
[mega] 123500/130765 hits=343 rpm~2980 conc=300 inflight=163 429=1
