PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
`rope_parameters`'s factor field must be a float >= 1, got 40
`rope_parameters`'s beta_fast field must be a float, got 32
`rope_parameters`'s beta_slow field must be a float, got 1
already probed: 908800
tiktoken cl100k_base: +99479
tiktoken o200k_base: +114048
tiktoken gpt2: +5337
tiktoken r50k_base: +0
tiktoken p50k_base: +0
hf Qwen/Qwen2.5-0.5B: +37111
hf bigscience/bloom: +143610
hf facebook/mbart-large-50: +165028
hf google/mt5-base: +92365
hf xlm-roberta-base: +0
hf baichuan-inc/Baichuan2-7B-Base: +45268
hf deepseek-ai/DeepSeek-V2-Lite: +13141
[hf] skip Salesforce/codet5p-220m: Input must be a List[Union[str, AddedToken]]
hf Salesforce/codet5p-220m: +0
hf EleutherAI/gpt-neox-20b: +2335
hf microsoft/deberta-v3-base: +59978
hf sentence-transformers/LaBSE: +312857
total unique: 1090557, NEW: 887622
[counter] model=claude-opus-4-7 baseline(§§)=13
[full] resume: 0 already done, 887622 pending
[full] 374000/887622 hits=270 rpm~2453 conc=25 inflight=24 429=1111
[full] 376000/887622 hits=273 rpm~2453 conc=4 inflight=3 429=1122
[full] 378000/887622 hits=274 rpm~2448 conc=25 inflight=24 429=1122
[full] 380000/887622 hits=277 rpm~2450 conc=72 inflight=0 429=1122
[full] 382000/887622 hits=277 rpm~2454 conc=218 inflight=217 429=1122
[full] 384000/887622 hits=277 rpm~2455 conc=300 inflight=18 429=1122
[full] 386000/887622 hits=278 rpm~2449 conc=12 inflight=11 429=1170
[full] 388000/887622 hits=280 rpm~2453 conc=38 inflight=37 429=1170
[full] 390000/887622 hits=280 rpm~2453 conc=112 inflight=0 429=1170
[full] 392000/887622 hits=282 rpm~2456 conc=300 inflight=10 429=1170
[full] 394000/887622 hits=283 rpm~2460 conc=300 inflight=46 429=1170
[full] 396000/887622 hits=286 rpm~2460 conc=300 inflight=34 429=1170
[full] 398000/887622 hits=287 rpm~2456 conc=8 inflight=7 429=1197
[full] 400000/887622 hits=289 rpm~2458 conc=31 inflight=0 429=1197
[full] 402000/887622 hits=289 rpm~2458 conc=90 inflight=27 429=1197
[full] 404000/887622 hits=292 rpm~2462 conc=68 inflight=6 429=1203
[full] 406000/887622 hits=296 rpm~2452 conc=20 inflight=19 429=1215
[full] 408000/887622 hits=297 rpm~2455 conc=58 inflight=0 429=1215
[full] 410000/887622 hits=300 rpm~2457 conc=175 inflight=0 429=1215
[full] 412000/887622 hits=304 rpm~2458 conc=300 inflight=19 429=1215
[full] 414000/887622 hits=304 rpm~2462 conc=300 inflight=0 429=1215
[full] 416000/887622 hits=306 rpm~2464 conc=300 inflight=0 429=1215
[full] 418000/887622 hits=308 rpm~2464 conc=300 inflight=0 429=1215
[full] 420000/887622 hits=312 rpm~2461 conc=8 inflight=0 429=1247
[full] 422000/887622 hits=314 rpm~2462 conc=31 inflight=30 429=1247
[full] 424000/887622 hits=314 rpm~2463 conc=90 inflight=16 429=1247
[full] 426000/887622 hits=316 rpm~2467 conc=272 inflight=0 429=1247
[full] 428000/887622 hits=316 rpm~2469 conc=300 inflight=0 429=1247
[full] 430000/887622 hits=317 rpm~2469 conc=300 inflight=0 429=1247
[full] 432000/887622 hits=319 rpm~2462 conc=16 inflight=15 429=1265
[full] 434000/887622 hits=320 rpm~2468 conc=47 inflight=34 429=1265
[full] 436000/887622 hits=320 rpm~2467 conc=140 inflight=27 429=1265
[full] 438000/887622 hits=323 rpm~2468 conc=300 inflight=21 429=1265
[full] 440000/887622 hits=324 rpm~2473 conc=300 inflight=0 429=1265
[full] 442000/887622 hits=326 rpm~2473 conc=300 inflight=27 429=1265
[full] 444000/887622 hits=331 rpm~2474 conc=300 inflight=14 429=1265
[full] 446000/887622 hits=331 rpm~2478 conc=300 inflight=156 429=1265
[full] 448000/887622 hits=331 rpm~2479 conc=300 inflight=27 429=1265
[full] 450000/887622 hits=332 rpm~2480 conc=300 inflight=0 429=1265
[full] 452000/887622 hits=336 rpm~2484 conc=300 inflight=156 429=1265
[full] 454000/887622 hits=339 rpm~2485 conc=300 inflight=48 429=1265
[full] 456000/887622 hits=342 rpm~2480 conc=300 inflight=297 429=1265
[full] 458000/887622 hits=342 rpm~2473 conc=16 inflight=15 429=1301
[full] 460000/887622 hits=346 rpm~2477 conc=47 inflight=0 429=1301
[full] 462000/887622 hits=349 rpm~2477 conc=140 inflight=34 429=1301
[full] 464000/887622 hits=351 rpm~2478 conc=300 inflight=16 429=1301
[full] 466000/887622 hits=351 rpm~2481 conc=300 inflight=101 429=1301
[full] 468000/887622 hits=355 rpm~2483 conc=300 inflight=55 429=1301
[full] 470000/887622 hits=355 rpm~2484 conc=300 inflight=0 429=1301
[full] 472000/887622 hits=355 rpm~2487 conc=300 inflight=77 429=1301
[full] 474000/887622 hits=358 rpm~2488 conc=300 inflight=54 429=1301
[full] 476000/887622 hits=359 rpm~2489 conc=300 inflight=0 429=1301
[full] 478000/887622 hits=361 rpm~2493 conc=300 inflight=0 429=1301
[full] 480000/887622 hits=364 rpm~2493 conc=300 inflight=0 429=1301
[full] 482000/887622 hits=364 rpm~2494 conc=300 inflight=33 429=1301
[full] 484000/887622 hits=365 rpm~2497 conc=300 inflight=95 429=1301
[full] 486000/887622 hits=368 rpm~2499 conc=300 inflight=0 429=1301
[full] 488000/887622 hits=372 rpm~2500 conc=300 inflight=0 429=1301
[full] 490000/887622 hits=375 rpm~2502 conc=300 inflight=0 429=1301
[full] 492000/887622 hits=377 rpm~2504 conc=300 inflight=0 429=1301
[full] 494000/887622 hits=380 rpm~2505 conc=300 inflight=0 429=1301
[full] 496000/887622 hits=382 rpm~2507 conc=300 inflight=46 429=1301
[full] 498000/887622 hits=382 rpm~2509 conc=300 inflight=0 429=1301
[full] 500000/887622 hits=385 rpm~2510 conc=300 inflight=0 429=1301
[full] 502000/887622 hits=385 rpm~2511 conc=300 inflight=230 429=1301
[full] 504000/887622 hits=386 rpm~2514 conc=300 inflight=0 429=1301
[full] 506000/887622 hits=391 rpm~2514 conc=300 inflight=136 429=1301
[full] 508000/887622 hits=393 rpm~2516 conc=300 inflight=0 429=1301
[full] 510000/887622 hits=396 rpm~2518 conc=300 inflight=0 429=1301
[full] 512000/887622 hits=399 rpm~2519 conc=300 inflight=0 429=1301
[full] 514000/887622 hits=401 rpm~2520 conc=300 inflight=289 429=1301
[full] 516000/887622 hits=402 rpm~2523 conc=300 inflight=0 429=1301
[full] 518000/887622 hits=402 rpm~2524 conc=300 inflight=0 429=1301
[full] 520000/887622 hits=403 rpm~2526 conc=300 inflight=0 429=1301
[full] 522000/887622 hits=403 rpm~2527 conc=300 inflight=0 429=1301
[full] 524000/887622 hits=403 rpm~2528 conc=300 inflight=0 429=1301
[full] 526000/887622 hits=403 rpm~2530 conc=300 inflight=0 429=1301
[full] 528000/887622 hits=404 rpm~2531 conc=300 inflight=166 429=1301
[full] 530000/887622 hits=407 rpm~2533 conc=300 inflight=0 429=1301
[full] 532000/887622 hits=407 rpm~2534 conc=300 inflight=299 429=1301
[full] 534000/887622 hits=407 rpm~2536 conc=300 inflight=100 429=1301
[full] 536000/887622 hits=407 rpm~2537 conc=300 inflight=0 429=1301
[full] 538000/887622 hits=409 rpm~2539 conc=300 inflight=101 429=1301
[full] 540000/887622 hits=410 rpm~2540 conc=300 inflight=0 429=1301
[full] 542000/887622 hits=413 rpm~2541 conc=300 inflight=148 429=1301
[full] 544000/887622 hits=414 rpm~2543 conc=300 inflight=70 429=1301
[full] 546000/887622 hits=414 rpm~2544 conc=300 inflight=299 429=1301
[full] 548000/887622 hits=415 rpm~2546 conc=300 inflight=0 429=1301
[full] 550000/887622 hits=417 rpm~2547 conc=300 inflight=0 429=1301
[full] 552000/887622 hits=417 rpm~2549 conc=300 inflight=0 429=1301
[full] 554000/887622 hits=417 rpm~2550 conc=300 inflight=0 429=1301
[full] 556000/887622 hits=422 rpm~2550 conc=300 inflight=297 429=1301
[full] 558000/887622 hits=423 rpm~2552 conc=300 inflight=298 429=1301
[full] 560000/887622 hits=425 rpm~2554 conc=300 inflight=0 429=1301
[full] 562000/887622 hits=425 rpm~2555 conc=300 inflight=208 429=1301
[full] 564000/887622 hits=428 rpm~2556 conc=300 inflight=217 429=1301
[full] 566000/887622 hits=428 rpm~2557 conc=300 inflight=288 429=1301
[full] 568000/887622 hits=429 rpm~2559 conc=300 inflight=0 429=1301
