known: 13192, probed: 753009
productive short tokens: 2726
pair candidates: 500000
top 30: [' itemsnative', ' itemsbig ', ' itemsreview', ' itemsusing', ' itemsamong ', ' itemstitle ', ' itemsmade ', ' itemsjoin ', ' itemsmuch', ' itemsimages', ' itemslen', ' itemsindex ', ' itemsnew ', ' itemsel ', ' itemsmed ', ' itemslabel ', ' itemsnone', ' itemsIf', ' itemsmath', ' itemse ', ' itemsfew ', ' itemsown ', ' itemsgood ', ' itemsio ', ' itemsII', ' itemspoint ', ' itemscourse', ' itemsthose', ' itemsFrom', ' itemsList']
[counter] model=claude-opus-4-7 baseline(§§)=13
[pair] resume: 0 already done, 500000 pending
[pair] 148500/500000 hits=6 rpm~2581 conc=47 inflight=8 429=483
[pair] 149000/500000 hits=6 rpm~2574 conc=11 inflight=10 429=489
[pair] 149500/500000 hits=6 rpm~2574 conc=19 inflight=18 429=489
[pair] 150000/500000 hits=6 rpm~2574 conc=23 inflight=0 429=489
[pair] 150500/500000 hits=6 rpm~2578 conc=28 inflight=27 429=489
[pair] 151000/500000 hits=6 rpm~2582 conc=35 inflight=34 429=489
[pair] 151500/500000 hits=6 rpm~2588 conc=53 inflight=11 429=489
[pair] 152000/500000 hits=6 rpm~2582 conc=66 inflight=7 429=489
[pair] 152500/500000 hits=6 rpm~2575 conc=8 inflight=7 429=496
[pair] 153000/500000 hits=6 rpm~2573 conc=16 inflight=15 429=496
[pair] 153500/500000 hits=6 rpm~2574 conc=20 inflight=19 429=496
[pair] 154000/500000 hits=6 rpm~2577 conc=25 inflight=24 429=496
[pair] 154500/500000 hits=6 rpm~2581 conc=31 inflight=30 429=496
[pair] 155000/500000 hits=6 rpm~2584 conc=47 inflight=0 429=496
[pair] 155500/500000 hits=6 rpm~2582 conc=58 inflight=8 429=497
[pair] 156000/500000 hits=6 rpm~2580 conc=72 inflight=15 429=497
[pair] 156500/500000 hits=7 rpm~2574 conc=5 inflight=4 429=509
[pair] 157000/500000 hits=7 rpm~2544 conc=9 inflight=8 429=509
[pair] 157500/500000 hits=7 rpm~2541 conc=13 inflight=12 429=509
[pair] 158000/500000 hits=7 rpm~2542 conc=21 inflight=20 429=509
[pair] 158500/500000 hits=7 rpm~2544 conc=26 inflight=25 429=509
[pair] 159000/500000 hits=7 rpm~2547 conc=32 inflight=31 429=509
[pair] 159500/500000 hits=7 rpm~2552 conc=40 inflight=39 429=509
[pair] 160000/500000 hits=7 rpm~2545 conc=62 inflight=0 429=509
[pair] 160500/500000 hits=7 rpm~2549 conc=77 inflight=12 429=509
[pair] 161000/500000 hits=7 rpm~2549 conc=96 inflight=17 429=509
[pair] 161500/500000 hits=7 rpm~2551 conc=120 inflight=28 429=509
[pair] 162000/500000 hits=7 rpm~2554 conc=187 inflight=41 429=509
[pair] 162500/500000 hits=7 rpm~2559 conc=233 inflight=51 429=509
[pair] 163000/500000 hits=7 rpm~2533 conc=4 inflight=3 429=542
[pair] 163500/500000 hits=7 rpm~2522 conc=8 inflight=7 429=542
[pair] 164000/500000 hits=7 rpm~2521 conc=16 inflight=15 429=542
[pair] 164500/500000 hits=7 rpm~2521 conc=20 inflight=19 429=542
[pair] 165000/500000 hits=7 rpm~2523 conc=25 inflight=0 429=542
[pair] 165500/500000 hits=7 rpm~2527 conc=31 inflight=30 429=542
[pair] 166000/500000 hits=7 rpm~2532 conc=47 inflight=46 429=542
[pair] 166500/500000 hits=7 rpm~2529 conc=58 inflight=7 429=542
