known=13239 already=1087345
total unique candidates: 106080
[counter] model=claude-opus-4-7 baseline(§§)=13
[brute_full] resume: 0 already done, 106080 pending
[brute_full] 100500/106080 hits=132 rpm~1916 conc=16 inflight=15 429=762
[brute_full] 101000/106080 hits=133 rpm~1920 conc=25 inflight=24 429=762
[brute_full] 101500/106080 hits=133 rpm~1925 conc=31 inflight=30 429=762
[brute_full] 102000/106080 hits=133 rpm~1931 conc=38 inflight=37 429=762
[brute_full] 102500/106080 hits=133 rpm~1931 conc=4 inflight=3 429=792
[brute_full] 103000/106080 hits=133 rpm~1918 conc=8 inflight=7 429=792
[brute_full] 103500/106080 hits=133 rpm~1917 conc=12 inflight=11 429=792
[brute_full] 104000/106080 hits=133 rpm~1920 conc=20 inflight=19 429=792
[brute_full] 104500/106080 hits=133 rpm~1924 conc=25 inflight=24 429=792
[brute_full] 105000/106080 hits=133 rpm~1930 conc=31 inflight=0 429=792
[brute_full] 105500/106080 hits=133 rpm~1936 conc=38 inflight=37 429=792
[brute_full] 106000/106080 hits=133 rpm~1934 conc=5 inflight=4 429=801
[brute_full] done. probed=106080 hits=133 checked_total=106080
